RS-C2.0,品牌,车型
195/60R42,,莲花L3
195/60R43,菲亚特,马力昂
195/60R44,起亚,凯恩斯
195/60R45,,赛拉图
195/60R46,,赛拉图欧风
195/65R15,一汽,奔腾
195/65R16,东风,景逸
195/65R17,中华,中华
195/65R18,,中华H530
195/65R19,,骏捷
195/65R20,,骏捷FRV
195/65R21,,骏捷FSV
195/65R22,丰田,Wish
195/65R23,,卡罗拉
195/65R24,,威姿
195/65R25,,远景
195/65R26,保时捷,944
195/65R27,大众,T4
195/65R28,,宝来
195/65R29,,帕萨特
195/65R30,,捷达
195/65R31,,朗逸
195/65R32,,甲壳虫
195/65R33,,途安
195/65R34,,速腾
195/65R35,,高尔
195/65R36,,高尔夫
195/65R37,奇瑞,A3
195/65R38,斯柯达,明锐
195/65R39,日产,公爵
195/65R40,,蓝鸟
195/65R41,本田,思域
195/65R42,,诗韵
195/65R43,标致,306
195/65R44,,308
195/65R45,,406
195/65R46,,标致206
195/65R47,,标致307
195/65R48,,标致308
195/65R49,江淮,同悦RS
195/65R50,,宾悦
195/65R51,江铃,陆风X9
195/65R52,,风尚
195/65R53,海马,福美来
195/65R54,现代,i30
195/65R55,,伊兰特悦动
195/65R56,福特,福克斯
195/65R57,菲亚特,Stilo
195/65R58,,博悦
195/65R59,起亚,福瑞迪
195/65R60,道奇,卷云
195/65R61,铃木,天语
195/65R62,长城,嘉誉
195/65R63,,腾翼C50
195/65R64,长安,CX30
195/65R65,,奔奔
195/65R66,,志翔
195/65R67,,杰勋
195/65R68,雪佛兰,爱唯欧
195/65R69,雪铁龙,世嘉
195/65R70,,毕加索
195/65R71,雷诺,梅甘娜
195/65R72,,风景
195/65R73,马自达,马自达3
195/65R74,,马自达3星骋
205/50R16,三菱,蓝瑟
205/50R17,东风,风神H30
205/50R18,,风神H30 Cross
205/50R19,,风神S30
205/50R20,名爵,名爵3
205/50R21,标致,405
205/50R22,海马,欢动
205/50R23,,海马3
205/50R24,现代,伊兰特
205/50R25,莲花,莲花L5
205/50R26,起亚,赛拉图
205/50R27,,赛拉图欧风
205/50R28,马自达,马自达MX-5
205/55R16,一汽,奔腾
205/55R17,三菱,日蚀
205/55R18,,格兰
205/55R19,东风,景逸
205/55R20,中华,中华
205/55R21,,中华H530
205/55R22,,酷宝
205/55R23,,骏捷
205/55R24,,骏捷FRV
205/55R25,,骏捷FSV
205/55R26,,骏捷Wagon
205/55R27,丰田,ZELAS
205/55R28,,卡罗拉
205/55R29,,美佳
205/55R30,全球鹰,GC7
205/55R31,吉利,远景
205/55R32,大众,GTI
205/55R33,,宝来
205/55R34,,帕萨特
205/55R35,,捷达
205/55R36,,朗逸
205/55R37,,甲壳虫
205/55R38,,迈腾
205/55R39,,途安
205/55R40,,速腾
205/55R41,,领驭
205/55R42,,高尔夫
205/55R43,奇瑞,A3
205/55R44,,东方之子
205/55R45,,东方之子Cross
205/55R46,帝豪,帝豪EC718
205/55R47,,帝豪EC7-RV
205/55R48,广汽,传祺
205/55R49,庞蒂克,庞蒂克 Vibe
205/55R50,斯巴鲁,翼狮
205/55R51,,翼豹
205/55R52,斯柯达,昊锐
205/55R53,,明锐
205/55R54,日产,天际线
205/55R55,,帅客
205/55R56,本田,思域
205/55R57,,雅阁
205/55R58,标致,306
205/55R59,,307
205/55R60,,307CC
205/55R61,,307SW
205/55R62,,308
205/55R63,,标致307
205/55R64,,标致308
205/55R65,欧宝,赛飞利
205/55R66,,雅特
205/55R67,江淮,和悦
205/55R68,,和悦RS
205/55R69,,宾悦
205/55R70,沃尔沃,C30
205/55R71,,S40
205/55R72,海马,福美来
205/55R73,现代,i30
205/55R74,,伊兰特悦动
205/55R75,,酷派
205/55R76,福特,福克斯
205/55R77,,蒙迪欧
205/55R78,,蒙迪欧致胜
205/55R79,英伦,海景
205/55R80,荣威,荣威350
205/55R81,菲亚特,克罗玛
205/55R82,,博悦
205/55R83,起亚,SOUL
205/55R84,,狮跑
205/55R85,,福瑞迪
205/55R86,,赛拉图
205/55R87,,远舰
205/55R88,长城,嘉誉
205/55R89,,腾翼C50
205/55R90,雪佛兰,景程
205/55R91,,爱唯欧
205/55R92,,骑士
205/55R93,雪铁龙,C4
205/55R94,,世嘉
205/55R95,雷诺,拉古娜
205/55R96,,梅甘娜
205/55R97,,梅甘娜 CC
205/55R98,马自达,5 Series
205/55R99,,马自达3
205/55R100,,马自达3星骋
205/55R101,,马自达6
205/60R15,三菱,日蚀
205/60R16,凯迪拉克,布洛海姆
205/60R17,大宇,典雅
205/60R18,日产,SENTRA
205/60R19,,天际线
205/60R20,,蓝鸟
205/60R21,沃德斯莫拜耳,OLDSMOBILESUPERME
205/60R22,现代,索纳塔
205/60R23,福特,天蝎
205/60R24,,美洲虎
205/60R25,红旗,红旗
205/60R26,,红旗世纪星
205/60R27,,红旗明仕
205/60R28,起亚,帝国
205/60R29,,远舰
205/60R16,Galue,Galue
205/60R17,三菱,蓝瑟
205/60R18,,蓝瑟翼神
205/60R19,中华,骏捷FRV
205/60R20,丰田,逸致
205/60R21,别克,英朗GT
205/60R22,,英朗XT
205/60R23,斯巴鲁,力狮
205/60R24,日产,PRIMERA
205/60R25,,公爵
205/60R26,,帅客
205/60R27,本田,雅阁
205/60R28,标致,407
205/60R29,比亚迪,比亚迪F3
205/60R30,,比亚迪F6
205/60R31,,比亚迪G6
205/60R32,现代,名驭
205/60R33,,索纳塔
205/60R34,瑞麒,瑞麒
205/60R35,,瑞麒G5
205/60R36,起亚,佳乐
205/60R37,,远舰
205/60R38,铃木,天语
205/60R39,长城,迷你SUV
205/60R40,长安,奔奔
205/60R41,雪佛兰,科鲁兹
205/60R42,雪铁龙,XM
205/60R43,雷诺,拉古娜
205/60R44,,风景
205/60R45,马自达,马自达6
205/65R15,东风,御轩
205/65R16,丰田,亚洲龙
205/65R17,,大霸王
205/65R18,伏尔加,伏尔加
205/65R19,克莱斯勒,赛百灵
205/65R20,吉利,远景
205/65R21,大众,卡拉维尔
205/65R22,,宝来
205/65R23,,高尔
205/65R24,奇瑞,A5
205/65R25,,东方之子
205/65R26,帝豪,帝豪EC718
205/65R27,,帝豪EC7-RV
205/65R28,日产,Maxima
205/65R29,,光荣
205/65R30,,赛瑞纳
205/65R31,,风度
205/65R32,本田,雅阁
205/65R33,欧宝,欧米茄
205/65R34,比亚迪,比亚迪F3
205/65R35,,比亚迪F6
205/65R36,,比亚迪G6
205/65R37,现代,名驭
205/65R38,,索纳塔
205/65R39,起亚,新佳乐
205/65R40,雪佛兰,景程
205/65R41,,科鲁兹
205/65R42,雪铁龙,XM
205/65R43,,帕斯卡
205/65R44,,桑蒂雅
215/50R17,丰田,Wish
215/50R18,光冈,光冈
215/50R19,别克,英朗GT
215/50R20,,英朗XT
215/50R21,名爵,名爵6
215/50R22,,名爵7
215/50R23,日产,PRIMERA
215/50R24,标致,标致408
215/50R25,比亚迪,比亚迪F6
215/50R26,,比亚迪G6
215/50R27,荣威,荣威550
215/50R28,,荣威750
215/50R29,菲亚特,克罗玛
215/55R16,名爵,名爵
215/55R17,,名爵6
215/55R18,,名爵7
215/55R19,,名爵TF
215/55R20,大众,宝来
215/55R21,,帕萨特
215/55R22,,迈腾
215/55R23,,领驭
215/55R24,帝豪,帝豪EC718
215/55R25,,帝豪EC7-RV
215/55R26,斯柯达,弗雷西亚
215/55R27,日产,光荣
215/55R28,,公爵王
215/55R29,,风度
215/55R30,标致,308
215/55R31,,406
215/55R32,,标致408
215/55R33,欧宝,威达
215/55R34,沃尔沃,C70
215/55R35,,S60
215/55R36,福特,蒙迪欧
215/55R37,,蒙迪欧致胜
215/55R38,荣威,荣威550
215/55R39,,荣威750
215/55R40,雪铁龙,C4
215/55R41,,凯旋
215/55R42,,帕斯卡
215/55R43,,毕加索
215/55R44,马自达,MILLENIA
215/55R17,三菱,格蓝迪
215/55R18,中华,骏捷Wagon
215/55R19,丰田,凯美瑞
215/55R20,,大霸王
215/55R21,,皇冠
215/55R22,,锐志
215/55R23,大众,帕萨特
215/55R24,帝豪,帝豪EC8
215/55R25,斯巴鲁,傲虎
215/55R26,,力狮
215/55R27,日产,天籁
215/55R28,,天际线
215/55R29,,奥蒂玛
215/55R30,本田,奥德赛
215/55R31,标致,407
215/55R32,,标致508
215/55R33,比亚迪,比亚迪M6
215/55R34,现代,索纳塔
215/55R35,瑞麒,瑞麒G6
215/55R36,红旗,盛世(HQ3)
215/55R37,起亚,K5
215/55R38,雪佛兰,沃蓝达
215/60R15,丰田,SOARER
215/60R16,三菱,戈蓝
215/60R17,,格蓝迪
215/60R18,,欧蓝德
215/60R19,丰田,凯美瑞
215/60R20,,锐志
215/60R21,双龙,Chairman W
215/60R22,,主席
215/60R23,大众,帕萨特
215/60R24,大宇,主席
215/60R25,帝豪,帝豪EC8
215/60R26,本田,奥德赛
215/60R27,,雅阁
215/60R28,标致,标致508
215/60R29,现代,索纳塔
215/60R30,福特,S-Max
215/60R31,铃木,凯泽西
215/60R32,马自达,MPV
215/65R15,一汽,自由风
,东风,风行
,宝龙,宝龙
,现代,王朝
,,索纳塔
215/65R16,三菱,劲炫
,丰田,埃尔法
,,塞纳
,克莱斯勒,大捷龙
,,铂锐
,力帆,力帆X60
,大众,康比
,,途观
,奇瑞,瑞虎
,斯巴鲁,森林人
,日产,奇骏
,,贵士
,,逍客
,本田,CR-V
,,奥德赛
,现代,特杰
,,途胜
,福特,野马
,起亚,狮跑
,道奇,凯领
,,锋哲
,马自达,马自达8
215/70R15,别克,GL8
,,君威
,水星,侯爵
,江淮,瑞风
,江铃,宝威
,现代,圣达菲
,福特,稳达
,起亚,嘉华
225/50R16,丰田,SUPRA
,,速拉娜
,奔驰,CLK240
,,CLK280
,,CLK320
,奥迪,S6
,宝马,318I
,,320I
,,325CI
,,325i
,福特,PROBE
,马自达,马自达RX
225/50R17,三菱,日蚀
,凯迪拉克,CTS
,别克,英朗GT
,,英朗XT
,奥迪,A5
,,A6
,,奥迪A4
,,奥迪A4L
,,奥迪A6
,,奥迪A6L
,宝马,325i
,本田,思铂睿
,,雅阁
,标致,3008
,,607
,沃尔沃,S80
,现代,索纳塔
,福特,蒙迪欧致胜
,萨博,9-3X
,雪佛兰,科鲁兹
,雷克萨斯,GS
225/55R16,丰田,SOARER
,别克,荣御
,奔驰,C200
,,C200K
,,C280
,,C300
,奥迪,A1
,,A4
,,A5
,,A6
,,TT
,,奥迪A4L
,,奥迪A6
,,奥迪A6L
,宝马,318I
,,320I
,,325i
,标致,607
,欧宝,欧米茄
,沃尔沃,S80
,霍顿,政治家
225/60R16,丰田,世纪
,克莱斯勒,君主
,凯迪拉克,帝威
,别克,GL8
,,君威
,,君越
,,林荫大道
,华泰,B11
,奔驰,S350
,捷豹,S
,欧宝,欧米茄
,水星,侯爵
,现代,君爵
,,雅尊
,,雅科仕
,红旗,红旗
,,红旗旗舰
,起亚,嘉华
,,欧菲莱斯
,雪佛兰,鲁米那
,雪铁龙,C5
